Name,Category 1,Nationality,Description,,
Post Malone,Musique,Other,chanteur,,
Psy (chanteur),Musique,Other,Gangnam Style,,
Renaud,Musique,France,chanteur,,
Ricky Martin,Musique,Other,chanteur,,
Rihanna,Musique,Other,chanteuse,,
Sabrina Carpenter,Musique,Other,chanteuse,,
SCH (rappeur),Musique,France,,,
Sean Paul,Musique,Other,rappeur,,
Selena Gomez,Musique,Other,chanteuse,,
Serge Gainsbourg,Musique,France,chanteur,,
Shaggy,Musique,Other,chanteur,,
Shakira,Musique,Other,chanteuse,,
Shawn Mendes,Musique,Other,chanteur,,
Sia (chanteuse),Musique,Other,,,
Slimane (chanteur),Musique,France,,,
Snoop Dogg,Musique,Other,rappeur,,
Soprano (rappeur),Musique,France,,,
Stephan Eicher,Musique,Other,chanteur,,
Stevie Wonder,Musique,Other,chanteur,,
Sting,Musique,Other,auteur-compositeur-interprète,,
Stromae,Musique,Other,chanteur,,
Taylor Swift,Musique,Other,chanteuse,,
The Beatles,Musique,Other,groupe de musique,,
The Notorious B.I.G.,Musique,Other,rappeur,,
